






🇨🇳［央秒］,#genre#
CINEMAX,P2p://ns1.hellotvvod.com:9906/8ef5dc97e25645be8d4e303cb84b15e1
TVBS新闻,P2p://ns1.hellotvvod.com:9906/8222cff9be4d45dea17dcf500d9b4db9
中天新闻,P2p://ns1.hellotvvod.com:9906/1024c12594c343b6af5dff660d002058
东森新闻,P2p://ns1.hellotvvod.com:9906/693511f4bc16414ea8542504561a9589
壹新闻,P2p://ns1.hellotvvod.com:9906/eb51f64a5fa247eeb9ee4f2b873a2538
民视新闻,P2p://ns1.hellotvvod.com:9906/246f55af09774c22add9f50cb0427021
中视新闻,P2p://ns1.hellotvvod.com:9906/49be27fa88b6416ab36e02d8a9087c3f
台视新闻,P2p://ns1.hellotvvod.com:9906/6a8627dfdd524e9b94d3bd389740a9d2
华视新闻,P2p://ns1.hellotvvod.com:9906/6f3829c6341e474d9c732b3efc9838f5
三立iNEWS,P2p://ns1.hellotvvod.com:9906/14356bac5127458c88f2b8ae99284250
三立新闻,P2p://ns1.hellotvvod.com:9906/3afd0637dfc94845a4d9b812378b5740
寰宇新闻,P2p://ns1.hellotvvod.com:9906/3daa7cb1507342abb8e7034205417060
非凡新闻,P2p://ns1.hellotvvod.com:9906/488033886cea43a0981601bca1285663
年代新闻,P2p://ns1.hellotvvod.com:9906/cb9b246b644045d9904bda7cff64700a
国会频道1,P2p://ns1.hellotvvod.com:9906/8c00b3f2bbe9406ea0f85a4698998b54
国会频道2,P2p://ns1.hellotvvod.com:9906/86ceec2d17384b5bbe76398630ebda70
历史频道,P2p://ns1.hellotvvod.com:9906/931e00e969394e5aa2abf5c29f0d0f79
历史频道2,P2p://ns1.hellotvvod.com:9906/04b361440a4344648869f3613e2b1ba6
民视,P2p://ns1.hellotvvod.com:9906/afb3ce5ff4b343acbd4dcc18e779f000
人间卫视,P2p://ns1.hellotvvod.com:9906/483f21e0289341acb5d31fcc07784c30
台视,P2p://ns1.hellotvvod.com:9906/0f373c618b594cf4a92c0c0d67b4ccff
大爱,P2p://ns1.hellotvvod.com:9906/c5fb4cda3454476d93cb27e2e081250d
中视,P2p://ns1.hellotvvod.com:9906/b8f6cdb0ade748139fa3e47b63111f78
华视,P2p://ns1.hellotvvod.com:9906/79e2eae39d1d49e695fa105bfa24a276
公视,P2p://ns1.hellotvvod.com:9906/cceee06ef3194f1e8a030440d509f48d
国家地理频道,P2p://ns1.hellotvvod.com:9906/a1e66402b91c4f79ad1bf733a7b9c73a
探索频道,P2p://ns1.hellotvvod.com:9906/77d7615bfb1b4387afa4764c9ba1d243
TLC旅游生活,P2p://ns1.hellotvvod.com:9906/ee18f6daaf8a4ad8a0e6b996d0cd339a
动物星球,P2p://ns1.hellotvvod.com:9906/5963414225414a6e9eeb820a7aa7e941
纬来综合台,P2p://ns1.hellotvvod.com:9906/f77305fbbfbb497794f380b50501134b
八大第一台,P2p://ns1.hellotvvod.com:9906/062cfd1d662c4c568ac777badc14c9b3
八大综合台,P2p://ns1.hellotvvod.com:9906/0a94d77edc744413945ee76857f4f5c5
三立台湾台,P2p://ns1.hellotvvod.com:9906/eee1ccef6c7640eb8425a79922f01130
三立都会台,P2p://ns1.hellotvvod.com:9906/d03bbc7d90054cefbc582ad12b0892e5
PLAYBOY,P2p://ns1.hellotvvod.com:9906/e29e313adde24d83b11f8f6d01dd286e
CCTV1综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV1综合,http://39.134.115.163:8080/PLTV/88888910/224/3221226221/index.m3u8
CCTV2财经,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV2财经,http://39.135.138.60:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV3综艺,http://39.135.138.58:18890/PLTV/88888910/224/3221225647/index.m3u8
CCTV3综艺,http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV4国际,http://39.135.138.60:18890/PLTV/88888910/224/3221225621/index.m3u8
CCTV4国际,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV5体育,http://39.135.138.59:18890/PLTV/88888910/224/3221225633/index.m3u8
CCTV5体育,http://39.135.138.60:18890/PLTV/88888910/224/3221225633/index.m3u8
CCTV5赛事,http://39.135.138.60:18890/PLTV/88888910/224/3221225649/index.m3u8
CCTV5赛事,http://39.135.138.59:18890/PLTV/88888910/224/3221225649/index.m3u8
CCTV-6电影,http://39.135.138.59:18890/PLTV/88888910/224/3221225650/index.m3u8
CCTV-7军事,http://39.134.115.163:8080/PLTV/88888910/224/3221225644/index.m3u8
CCTV-7军事,http://39.135.138.60:18890/PLTV/88888910/224/3221225624/index.m3u8
CCTV-8电视剧,http://39.134.115.163:8080/PLTV/88888910/224/3221225631/index.m3u8
CCTV-8电视剧,http://111.20.33.93/TVOD/88888893/224/3221226391/index.m3u8
CCTV-8电视剧,http://39.135.138.60:18890/PLTV/88888910/224/3221225635/index.m3u8
CCTV-8电视剧,http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8
CCTV-9记录,http://39.135.138.59:18890/PLTV/88888910/224/3221225626/index.m3u8
CCTV-10科教,http://39.134.115.163:8080/PLTV/88888910/224/3221225627/index.m3u8
CCTV-10科教,http://39.135.138.59:18890/PLTV/88888910/224/3221225627/index.m3u8
CCTV-11戏曲,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240328_1/encoder/0/playlist.m3u8?
CCTV-12法治,http://39.135.138.59:18890/PLTV/88888910/224/3221225629/index.m3u8
CCTV-13新闻,http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV-13新闻,http://39.135.138.60:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV-14少儿,http://39.134.115.163:8080/PLTV/88888910/224/3221225639/index.m3u8
CCTV-15音乐,http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8
CCTV16奥运,http://liveop.cctv.cn/hls/CCTV16HD/playlist.m3u8
CCTV-17农业,http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8
CCTV4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8?$全网蓝光1080P


CCTV1,http://cache.ott.fifalive.itv.cmvideo.cn:80/1000000001000021973/1.m3u8?Contentid=1000000001000021973&livemode=1&stbId=3&channel-id=stenlive
CCTV2,http://cache.ott.fifalive.itv.cmvideo.cn:80/1000000001000012442/1.m3u8?Contentid=1000000001000012442&livemode=1&stbId=3&channel-id=stenlive
CCTV3,http://cache.ott.fifalive.itv.cmvideo.cn:80/1000000001000011218/1.m3u8?Contentid=1000000001000011218&livemode=1&stbId=3&channel-id=stenlive
CCTV4,http://cache.ott.fifalive.itv.cmvideo.cn:80/1000000002000031664/1.m3u8?Contentid=1000000002000031664&livemode=1&stbId=3&channel-id=stenlive
CCTV5,http://cache.ott.fifalive.itv.cmvideo.cn:80/1000000001000004794/1.m3u8?Contentid=1000000001000004794&livemode=1&stbId=3&channel-id=stenlive
CCTV5+,http://cache.ott.fifalive.itv.cmvideo.cn:80/1000000001000020505/1.m3u8?Contentid=1000000001000020505&livemode=1&stbId=3&channel-id=stenlive
CCTV6,http://cache.ott.fifalive.itv.cmvideo.cn:80/1000000001000016466/1.m3u8?Contentid=1000000001000016466&livemode=1&stbId=3&channel-id=stenlive
CCTV7,http://cache.ott.fifalive.itv.cmvideo.cn:80/1000000001000017218/1.m3u8?Contentid=1000000001000017218&livemode=1&stbId=3&channel-id=stenlive
CCTV8,http://cache.ott.fifalive.itv.cmvideo.cn:80/1000000001000003736/1.m3u8?Contentid=1000000001000003736&livemode=1&stbId=3&channel-id=stenlive
CCTV9,http://cache.ott.fifalive.itv.cmvideo.cn:80/1000000001000014583/1.m3u8?Contentid=1000000001000014583&livemode=1&stbId=3&channel-id=stenlive
CCTV10,http://cache.ott.fifalive.itv.cmvideo.cn:80/1000000001000026367/1.m3u8?Contentid=1000000001000026367&livemode=1&stbId=3&channel-id=stenlive
CCTV11,http://cache.ott.fifalive.itv.cmvideo.cn:80/1000000002000019789/1.m3u8?Contentid=1000000002000019789&livemode=1&stbId=3&channel-id=stenlive
CCTV12,http://cache.ott.fifalive.itv.cmvideo.cn:80/1000000001000001640/1.m3u8?Contentid=1000000001000001640&livemode=1&stbId=3&channel-id=stenlive
CCTV13,http://cache.ott.fifalive.itv.cmvideo.cn:80/1000000002000021303/1.m3u8?Contentid=1000000002000021303&livemode=1&stbId=3&channel-id=stenlive
CCTV14,http://cache.ott.fifalive.itv.cmvideo.cn:80/1000000001000008170/1.m3u8?Contentid=1000000001000008170&livemode=1&stbId=3&channel-id=stenlive
CCTV15,http://cache.ott.fifalive.itv.cmvideo.cn:80/1000000002000008163/1.m3u8?Contentid=1000000002000008163&livemode=1&stbId=3&channel-id=stenlive
CCTV16,http://cache.ott.fifalive.itv.cmvideo.cn:80/1000000006000233002/1.m3u8?Contentid=1000000006000233002&livemode=1&stbId=3&channel-id=stenlive
CCTV17,http://cache.ott.fifalive.itv.cmvideo.cn:80/1000000005000056836/1.m3u8?Contentid=1000000005000056836&livemode=1&stbId=3&channel-id=stenlive
🇨🇳［深央］,#genre#
CCTV1,http://218.17.216.102:9901/tsfile/live/1010_1.m3u8
CCTV2,http://218.17.216.102:9901/tsfile/live/1011_1.m3u8
CCTV3,http://218.17.216.102:9901/tsfile/live/1012_1.m3u8
CCTV4,http://218.17.216.102:9901/tsfile/live/1013_1.m3u8
CCTV5,http://218.17.216.102:9901/tsfile/live/1014_1.m3u8
CCTV5+,http://218.17.216.102:9901/tsfile/live/1015_1.m3u8
CCTV6,http://218.17.216.102:9901/tsfile/live/1016_1.m3u8
CCTV7,http://218.17.216.102:9901/tsfile/live/1017_1.m3u8
CCTV8,http://218.17.216.102:9901/tsfile/live/1018_1.m3u8
CCTV9,http://218.17.216.102:9901/tsfile/live/1019_1.m3u8
CCTV10,http://218.17.216.102:9901/tsfile/live/1020_1.m3u8
CCTV11,http://218.17.216.102:9901/tsfile/live/1021_1.m3u8
CCTV12,http://218.17.216.102:9901/tsfile/live/1022_1.m3u8
CCTV13,http://218.17.216.102:9901/tsfile/live/1023_1.m3u8
CCTV14,http://218.17.216.102:9901/tsfile/live/1024_1.m3u8
CCTV15,http://218.17.216.102:9901/tsfile/live/1025_1.m3u8
CCTV17,http://218.17.216.102:9901/tsfile/live/1026_1.m3u8
CCTV1,http://120.236.17.34:808/hls/201/index.m3u8
CCTV2,http://120.236.17.34:808/hls/202/index.m3u8
CCTV-3,http://120.236.17.34:808/hls/3/index.m3u8
CCTV4,http://120.236.17.34:808/hls/204/index.m3u8
CCTV-5,http://120.236.17.34:808/hls/5/index.m3u8
CCTV-6,http://120.236.17.34:808/hls/8/index.m3u8
CCTV7,http://120.236.17.34:808/hls/207/index.m3u8
CCTV-8,http://120.236.17.34:808/hls/10/index.m3u8
CCTV9,http://120.236.17.34:808/hls/209/index.m3u8
CCTV10,http://120.236.17.34:808/hls/210/index.m3u8
CCTV11,http://120.236.17.34:808/hls/211/index.m3u8
CCTV12,http://120.236.17.34:808/hls/212/index.m3u8
CCTV13,http://120.236.17.34:808/hls/213/index.m3u8
CCTV14,http://120.236.17.34:808/hls/214/index.m3u8
CCTV15,http://120.236.17.34:808/hls/215/index.m3u8
CGTN,http://120.236.17.34:808/hls/216/index.m3u8

电视指南,http://218.17.216.102:9901/tsfile/live/1064_1.m3u8
风云足球,http://218.17.216.102:9901/tsfile/live/1065_1.m3u8
怀旧剧场,http://218.17.216.102:9901/tsfile/live/1069_1.m3u8
风云剧场,http://218.17.216.102:9901/tsfile/live/1070_1.m3u8
央视台球,http://218.17.216.102:9901/tsfile/live/1066_1.m3u8
央视文化,http://218.17.216.102:9901/tsfile/live/1071_1.m3u8
兵器科技,http://218.17.216.102:9901/tsfile/live/1027_1.m3u8
第一剧场,http://218.17.216.102:9901/tsfile/live/1072_1.m3u8
风云音乐,http://218.17.216.102:9901/tsfile/live/1073_1.m3u8
世界地理,http://218.17.216.102:9901/tsfile/live/1068_1.m3u8
兵器科技,http://218.17.216.102:9901/tsfile/live/1027_1.m3u8
大湾区卫视,http://218.17.216.102:9901/tsfile/live/1007_1.m3u8

🇨🇳［央蓝］,#genre#
CCTV1[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225618/index.m3u8
CCTV1[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225642/index.m3u8
CCTV1[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225762/index.m3u8
CCTV1[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221226221/index.m3u8
CCTV1[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221226225/index.m3u8
CCTV1[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225918/index.m3u8
CCTV2[1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV2[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225619/index.m3u8
CCTV3[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV3[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225634/index.m3u8
CCTV3[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225647/index.m3u8
CCTV4[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8
CCTV5[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225633/index.m3u8
CCTV5+[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225649/index.m3u8
CCTV5+[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225706/index.m3u8
CCTV6[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225632/index.m3u8
CCTV6[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225650/index.m3u8
CCTV7[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225624/index.m3u8
CCTV7[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225644/index.m3u8
CCTV8[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225631/index.m3u8
CCTV8[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225635/index.m3u8
CCTV9[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225626/index.m3u8
CCTV9[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225646/index.m3u8
CCTV10[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225627/index.m3u8
CCTV10[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225636/index.m3u8
CCTV11[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225628/index.m3u8
CCTV12[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225629/index.m3u8
CCTV12[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225637/index.m3u8
CCTV13[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV13[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225638/index.m3u8
CCTV14[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225639/index.m3u8
CCTV14[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225640/index.m3u8
CCTV15[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225641/index.m3u8
CCTV16[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221226230/index.m3u8
CCTV16[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221226233/index.m3u8
CCTV17[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225907/index.m3u8
CCTV17[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225908/index.m3u8
CCTV17[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225909/index.m3u8

CCTV1[1920*1080],http://39.134.67.7:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV3[1920*1080],http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4K[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233400/1.m3u8
CCTV8K[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233350/1.m3u8
CCTV8K[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233404/1.m3u8
CCTV8K[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233413/1.m3u8
CCTV4K[1920*1080],http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV16[1920*1080],http://liveop.cctv.cn/hls/CCTV16HD/playlist.m3u8
CCTV3[1920*1080],http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8
CCTV5[1920*1080],http://111.63.117.13:6060/030000001000/CCTV-5/CCTV-5.m3u8

CCTV1[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225618/index.m3u8
CCTV1[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225918/index.m3u8
CCTV3[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225647/index.m3u8
CCTV3综艺,http://39.134.115.163:8080/PLTV/88888910/224/3221225634/index.m3u8
CCTV3综艺,http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV4国际,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV5体育,http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV6[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225650/index.m3u8
CCTV6电影,http://39.135.138.58:18890/PLTV/88888888/224/3221225632/index.m3u8
CCTV6电影,http://39.135.138.59:18890/PLTV/88888910/224/3221225632/index.m3u8
CCTV6电影,http://39.135.138.59:18890/PLTV/88888910/224/3221225650/index.m3u8
CCTV7国防,http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV7国防,http://39.134.115.163:8080/PLTV/88888910/224/3221225644/index.m3u8
CCTV8剧场,http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8
CCTV8剧场,http://39.135.138.59:18890/PLTV/88888910/224/3221225631/index.m3u8
CCTV9[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225626/index.m3u8
CCTV9纪录,http://39.134.115.163:8080/PLTV/88888910/224/3221225646/index.m3u8
CCTV9纪录,http://39.135.138.59:18890/PLTV/88888910/224/3221225626/index.m3u8
CCTV10科教,http://39.134.115.163:8080/PLTV/88888910/224/3221225627/index.m3u8
CCTV10科教,http://39.134.115.163:8080/PLTV/88888910/224/3221225636/index.m3u8
CCTV-11,http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV12法制,http://39.134.115.163:8080/PLTV/88888910/224/3221225629/index.m3u8
CCTV12法制,http://39.134.115.163:8080/PLTV/88888910/224/3221225637/index.m3u8
CCTV12法制,http://39.135.138.59:18890/PLTV/88888910/224/3221225629/index.m3u8
CCTV13新闻,http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV13新闻,http://39.135.138.58:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV13新闻,http://39.135.138.59:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV13新闻,http://39.135.138.60:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV14少儿,http://39.135.138.58:18890/PLTV/88888888/224/3221225640/index.m3u8
CCTV14少儿,http://39.135.138.59:18890/PLTV/88888910/224/3221225640/index.m3u8
CCTV15音乐,http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8
CCTV16[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226230/index.m3u8
CCTV17农业,http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8

🇨🇳［卫视］,#genre#
辽宁卫视,http://111.20.33.93/TVOD/88888893/224/3221226210/index.m3u8
厦门卫视,http://111.20.33.93/TVOD/88888893/224/3221226219/index.m3u8
山东卫视,http://111.20.33.93/TVOD/88888893/224/3221226209/index.m3u8
天津卫视,http://111.20.33.93/TVOD/88888893/224/3221226204/index.m3u8
延边卫视,http://111.20.33.93/TVOD/88888893/224/3221226220/index.m3u8
浙江卫视,http://111.20.33.93/TVOD/88888893/224/3221226199/index.m3u8
安徽卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225737/index.m3u8
安徽卫视,http://39.135.138.58:18890/PLTV/88888910/224/3221225691/index.m3u8
安徽卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225691/index.m3u8
北京卫视蓝光,http://39.134.115.163:8080/PLTV/88888910/224/3221225673/index.m3u8
重庆卫视蓝光,http://39.134.115.163:8080/PLTV/88888910/224/3221225692/index.m3u8
东方卫视蓝光,http://39.134.115.163:8080/PLTV/88888910/224/3221225658/index.m3u8
东方卫视蓝光,http://39.134.115.163:8080/PLTV/88888910/224/3221225659/index.m3u8
东南卫视蓝光,http://39.134.115.163:8080/PLTV/88888910/224/3221225657/index.m3u8
广东卫视蓝光,http://39.135.138.59:18890/PLTV/88888910/224/3221225742/index.m3u8
广东卫视蓝光,http://39.134.115.163:8080/PLTV/88888910/224/3221225701/index.m3u8
黑龙江卫视蓝光,http://39.134.115.163:8080/PLTV/88888910/224/3221225690/index.m3u8
黑龙江卫视蓝光,http://39.134.115.163:8080/PLTV/88888910/224/3221225736/index.m3u8
黑龙江卫视蓝光,http://39.134.116.30:8080/PLTV/88888910/224/3221225690/index.m3u8
江苏卫视蓝光,http://39.134.115.163:8080/PLTV/88888910/224/3221225702/index.m3u8
江苏卫视蓝光,http://39.134.115.163:8080/PLTV/88888910/224/3221225743/index.m3u8
江西卫视蓝光,http://39.134.115.163:8080/PLTV/88888910/224/3221225746/index.m3u8
辽宁卫视蓝光,http://39.134.115.163:8080/PLTV/88888910/224/3221225696/index.m3u8
辽宁卫视蓝光,http://39.134.115.163:8080/PLTV/88888910/224/3221225735/index.m3u8
山东卫视蓝光,http://39.134.115.163:8080/PLTV/88888910/224/3221225697/index.m3u8
深圳卫视蓝光,http://39.134.115.163:8080/PLTV/88888910/224/3221225741/index.m3u8
深圳卫视蓝光,http://39.134.115.163:8080/PLTV/88888910/224/3221225700/index.m3u8
天津卫视蓝光,http://39.134.115.163:8080/PLTV/88888910/224/3221225739/index.m3u8
天津卫视蓝光,http://39.134.115.163:8080/PLTV/88888910/224/3221225698/index.m3u8
云南卫视蓝光,http://39.135.138.59:18890/PLTV/88888910/224/3221225664/index.m3u8
西藏卫视,http://39.135.138.58:18890/PLTV/88888910/224/3221225723/index.m3u8
西藏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225723/index.m3u8
西藏卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225723/index.m3u8
西藏卫视,http://117.169.120.140:8080/live/xizangstv/.m3u8
江苏卫视,http://111.20.33.93/TVOD/88888893/224/3221226200/index.m3u8
辽宁卫视,http://111.20.33.93/TVOD/88888893/224/3221226201/index.m3u8
南方卫视,http://111.20.33.93/TVOD/88888893/224/3221226218/index.m3u8
天津卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225698/index.m3u8
兵团卫视,http://test5.btzx.com.cn/live/btxjbtws.stream/playlist.m3u8
甘肃卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225724/index.m3u8
贵州卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225728/index.m3u8
海南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225722/index.m3u8
河北卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225732/index.m3u8
湖北卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225699/index.m3u8
湖南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225704/index.m3u8
吉林卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225680/index.m3u8
江西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225705/index.m3u8
黑龙江卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225690/index.m3u8
浙江卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225703/index.m3u8
山西卫视HD,http://liveflash.sxrtv.com/live/sxwshd.m3u8
天津卫视,http://111.59.189.40:8445/tsfile/live/0135_1.m3u8
东方卫视,http://111.59.189.40:8445/tsfile/live/0107_1.m3u8
湖南卫视,http://111.59.189.40:8445/tsfile/live/0128_1.m3u8
