🐉央视频道,#genre#
CCTV-15   2K,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8?



CCTV-16   2K,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8?

CCTV-16   2K,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8
CCTV-16   2K,http://111.20.40.160/PLTV/88888893/224/3221226921/index.m3u8


兵器科技,http://gxdl-lhs.8866.org:85/tsfile/live/1098_1.m3u8?key=txiptv&playlive=1&authid=0
怀旧剧场,http://gxdl-lhs.8866.org:85/tsfile/live/1105_1.m3u8?key=txiptv&playlive=1&authid=0
风云剧场,http://gxdl-lhs.8866.org:85/tsfile/live/1106_1.m3u8?key=txiptv&playlive=1&authid=0
文化精品,http://gxdl-lhs.8866.org:85/tsfile/live/1107_1.m3u8?key=txiptv&playlive=1&authid=0
第一剧场,http://gxdl-lhs.8866.org:85/tsfile/live/1108_1.m3u8?key=txiptv&playlive=1&authid=0
风云音乐,http://gxdl-lhs.8866.org:85/tsfile/live/1110_1.m3u8?key=txiptv&playlive=1&authid=0
电视指南,http://gxdl-lhs.8866.org:85/tsfile/live/1099_1.m3u8?key=txiptv&playlive=1&authid=0
风云足球,http://gxdl-lhs.8866.org:85/tsfile/live/1100_1.m3u8?key=txiptv&playlive=1&authid=0
央视台球,http://gxdl-lhs.8866.org:85/tsfile/live/1101_1.m3u8?key=txiptv&playlive=1&authid=0
高尔夫网球,http://gxdl-lhs.8866.org:85/tsfile/live/1102_1.m3u8?key=txiptv&playlive=1&authid=0
女性时尚,http://gxdl-lhs.8866.org:85/tsfile/live/1103_1.m3u8?key=txiptv&playlive=1&authid=0
世界地理,http://gxdl-lhs.8866.org:85/tsfile/live/1104_1.m3u8?key=txiptv&playlive=1&authid=0

第一剧场,http://223.100.63.144:880/dx103.m3u8
怀旧剧场,http://223.100.63.144:880/dx95.m3u8
风云剧场,http://223.100.63.144:880/dx94.m3u8
风云足球,http://223.100.63.144:880/dx71.m3u8
风云音乐,http://223.100.63.144:880/dx73.m3u8
央视台球,http://223.100.63.144:880/dx82.m3u8
文化精品,http://223.100.63.144:880/dx104.m3u8
世界地理,http://223.100.63.144:880/dx72.m3u8
兵器科技,http://223.100.63.144:880/dx81.m3u8
女性时尚,http://223.100.63.144:880/dx105.m3u8
​电视指南,http://223.100.63.144:880/dx97.m3u8
高尔夫网球,http://223.100.63.144:880/dx98.m3u8

电视指南,http://111.20.40.162/PLTV/88888893/224/3221226987/index.m3u8
世界地理,http://111.20.40.162/PLTV/88888893/224/3221226947/index.m3u8
风云剧场,http://111.20.40.162/PLTV/88888893/224/3221226950/index.m3u8
第一剧场,http://111.20.40.162/PLTV/88888893/224/3221226959/index.m3u8
怀旧剧场,http://111.20.40.162/PLTV/88888893/224/3221226972/index.m3u8
风云音乐,http://111.20.40.162/PLTV/88888893/224/3221226953/index.m3u8
央视台球,http://111.20.40.162/PLTV/88888893/224/3221226956/index.m3u8
女性时尚,http://111.20.40.162/PLTV/88888893/224/3221226969/index.m3u8
兵器科技,http://111.20.40.162/PLTV/88888893/224/3221226975/index.m3u8
风云足球,http://111.20.40.162/PLTV/88888893/224/3221226984/index.m3u8
高尔夫网球,http://111.20.40.164/PLTV/88888893/224/3221226978/index.m3u8

风云剧场,http://hls.live.cqccn.com/__cl/cg:live/__c/shandongHD/__op/default/__f/index.m3u8
风云剧场,http://hls.live.cqccn.com/__cl/cg:live/__c/fyjcHD/__op/default/__f/index.m3u8
风云音乐,http://hls.live.cqccn.com/__cl/cg:live/__c/fyyyHD/__op/default/__f/index.m3u8
风云足球,http://hls.live.cqccn.com/__cl/cg:live/__c/fyzqHD/__op/default/__f/index.m3u8
央视台球,http://hls.live.cqccn.com/__cl/cg:live/__c/ystqHD/__op/default/__f/index.m3u8
怀旧剧场,http://hls.live.cqccn.com/__cl/cg:live/__c/hjjcHD/__op/default/__f/index.m3u8
第一剧场,http://hls.live.cqccn.com/__cl/cg:live/__c/diyijuchangHD/__op/default/__f/index.m3u8
兵器科技,http://hls.live.cqccn.com/__cl/cg:live/__c/bqkjHD/__op/default/__f/index.m3u8

电视指南,http://39.136.18.105/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225673/1/index.m3u8?fmt=ts2hls
兵器科技,http://39.136.18.105/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226111/1/index.m3u8?fmt=ts2hls
风云剧场,http://39.136.18.105/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225700/1/index.m3u8?fmt=ts2hls
第一剧场,http://39.136.18.105/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226124/1/index.m3u8?fmt=ts2hls
世界地理,http://39.136.18.105/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226071/1/index.m3u8?fmt=ts2hls
风云足球,http://39.136.18.105/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226153/1/index.m3u8?fmt=ts2hls
风云音乐,http://39.136.18.105/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226083/1/index.m3u8?fmt=ts2hls
怀旧剧场,http://39.136.18.105/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225765/1/index.m3u8?fmt=ts2hls
文化精品,http://39.136.18.105/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226100/1/index.m3u8?fmt=ts2hls
女性时尚,http://39.136.18.105/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226104/1/index.m3u8?fmt=ts2hls
央视台球,http://39.136.18.105/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226156/1/index.m3u8?fmt=ts2hls
高尔夫网球,http://39.136.18.105/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226114/1/index.m3u8?fmt=ts2hls

兵器科技,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226975/index.m3u8
怀旧剧场,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226972/index.m3u8
世界地理,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226947/index.m3u8
文化精品,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226981/index.m3u8
央视台球,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226956/index.m3u8
高尔夫网球,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226978/index.m3u8
风云剧场,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226950/index.m3u8
风云音乐,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226953/index.m3u8
第一剧场,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226959/index.m3u8
女性时尚,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226969/index.m3u8
风云足球,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226984/index.m3u8
电视指南,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226987/index.m3u8

兵器科技,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226975/1.m3u8
怀旧剧场,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226972/1.m3u8
世界地理,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226947/1.m3u8
文化精品,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226981/1.m3u8
央视台球,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226956/1.m3u8
高尔夫网球,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226978/1.m3u8
风云剧场,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226950/1.m3u8
风云音乐,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226953/1.m3u8
第一剧场,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226959/1.m3u8
女性时尚,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226969/1.m3u8
风云足球,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226984/1.m3u8
电视指南,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226987/1.m3u8

女性时尚,http://39.134.19.252:6610/yinhe/2/ch00000090990000002475/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
怀旧剧场,http://39.134.19.252:6610/yinhe/2/ch00000090990000002495/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
央视台球,http://39.134.19.252:6610/yinhe/2/ch00000090990000002496/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
高尔夫网球,http://39.134.19.252:6610/yinhe/2/ch00000090990000002497/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
第一剧场,http://39.134.19.252:6610/yinhe/2/ch00000090990000002498/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
风云足球,http://39.134.19.252:6610/yinhe/2/ch00000090990000002499/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
风云剧场,http://39.134.19.252:6610/yinhe/2/ch00000090990000002505/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
风云音乐,http://39.134.19.252:6610/yinhe/2/ch00000090990000002525/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
兵器科技,http://39.134.19.252:6610/yinhe/2/ch00000090990000002515/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
文化精品,http://39.134.19.252:6610/yinhe/2/ch00000090990000002535/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
电视指南,http://39.134.19.252:6610/yinhe/2/ch00000090990000002545/index.m3u8?virtualDomain=yinhe.live_hls.zte.com

第一剧场,http://111.20.40.171/PLTV/88888893/224/3221226959/index.m3u8
风云剧场,http://111.20.40.163/PLTV/88888893/224/3221226950/index.m3u8
怀旧剧场,http://111.20.40.171/PLTV/88888893/224/3221226972/index.m3u8
风云音乐,http://111.20.40.163/PLTV/88888893/224/3221226953/index.m3u8
兵器科技,http://111.20.40.171/PLTV/88888893/224/3221226975/index.m3u8
风云足球,http://111.20.40.171/PLTV/88888893/224/3221226984/index.m3u8
女性时尚,http://111.20.40.160/PLTV/88888893/224/3221226969/index.m3u8
央视台球,http://111.20.40.171/PLTV/88888893/224/3221226956/index.m3u8
文化精品,http://111.20.40.165/PLTV/88888893/224/3221226981/index.m3u8
电视指南,http://111.20.40.162/PLTV/88888893/224/3221226987/index.m3u8

央视台球,http://111.20.40.170/PLTV/88888893/224/3221226956/index.m3u8
风云足球,http://111.20.40.170/PLTV/88888893/224/3221226984/index.m3u8
风云音乐,http://111.20.40.170/PLTV/88888893/224/3221226953/index.m3u8
风云剧场,http://111.20.40.170/PLTV/88888893/224/3221226950/index.m3u8
第一剧场,http://111.20.40.170/PLTV/88888893/224/3221226959/index.m3u8
怀旧剧场,http://111.20.40.170/PLTV/88888893/224/3221226972/index.m3u8
高尔夫网球,http://111.20.40.170/PLTV/88888893/224/3221226978/index.m3u8
女性时尚,http://111.20.40.170/PLTV/88888893/224/3221226969/index.m3u8
兵器科技,http://111.20.40.170/PLTV/88888893/224/3221226975/index.m3u8

电视指南,http://111.20.40.160/PLTV/88888893/224/3221226987/index.m3u8
电视指南,http://111.20.40.163/PLTV/88888893/224/3221226987/index.m3u8
电视指南,http://111.20.40.166/PLTV/88888893/224/3221226987/index.m3u8
电视指南,http://111.20.40.167/PLTV/88888893/224/3221226987/index.m3u8
电视指南,http://111.20.40.170/PLTV/88888893/224/3221226987/index.m3u8
电视指南,http://111.20.40.171/PLTV/88888893/224/3221226987/index.m3u8

世界地理,http://111.20.40.160/PLTV/88888893/224/3221226947/index.m3u8
世界地理,http://111.20.40.162/PLTV/88888893/224/3221226947/index.m3u8
世界地理,http://111.20.40.163/PLTV/88888893/224/3221226947/index.m3u8
世界地理,http://111.20.40.166/PLTV/88888893/224/3221226947/index.m3u8
世界地理,http://111.20.40.167/PLTV/88888893/224/3221226947/index.m3u8
世界地理,http://111.20.40.170/PLTV/88888893/224/3221226947/index.m3u8
世界地理,http://111.20.40.171/PLTV/88888893/224/3221226947/index.m3u8

CETV3,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226226/index.m3u8

CETV1,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226712/1.m3u8
CETV2,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226718/1.m3u8
CETV3,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226722/1.m3u8
CETV4,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226724/1.m3u8


CETV2,http://angtv.cc/test/jsyh.php?id=G_CETV-2
CETV3,http://angtv.cc/test/jsyh.php?id=G_CETV-3
CETV4,http://angtv.cc/test/jsyh.php?id=G_CETV-4

CETV1,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225753/index.m3u8
CETV2,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225756/index.m3u8
CETV3,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226226/index.m3u8
CETV4,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226225/index.m3u8

兵器科技,http://gxdl-lhs.8866.org:85/tsfile/live/1098_1.m3u8?key=txiptv&playlive=1&authid=0
怀旧剧场,http://gxdl-lhs.8866.org:85/tsfile/live/1105_1.m3u8?key=txiptv&playlive=1&authid=0
风云剧场,http://gxdl-lhs.8866.org:85/tsfile/live/1106_1.m3u8?key=txiptv&playlive=1&authid=0
文化精品,http://gxdl-lhs.8866.org:85/tsfile/live/1107_1.m3u8?key=txiptv&playlive=1&authid=0
第一剧场,http://gxdl-lhs.8866.org:85/tsfile/live/1108_1.m3u8?key=txiptv&playlive=1&authid=0
风云音乐,http://gxdl-lhs.8866.org:85/tsfile/live/1110_1.m3u8?key=txiptv&playlive=1&authid=0
电视指南,http://gxdl-lhs.8866.org:85/tsfile/live/1099_1.m3u8?key=txiptv&playlive=1&authid=0
风云足球,http://gxdl-lhs.8866.org:85/tsfile/live/1100_1.m3u8?key=txiptv&playlive=1&authid=0
央视台球,http://gxdl-lhs.8866.org:85/tsfile/live/1101_1.m3u8?key=txiptv&playlive=1&authid=0
高尔夫网球,http://gxdl-lhs.8866.org:85/tsfile/live/1102_1.m3u8?key=txiptv&playlive=1&authid=0
女性时尚,http://gxdl-lhs.8866.org:85/tsfile/live/1103_1.m3u8?key=txiptv&playlive=1&authid=0
世界地理,http://gxdl-lhs.8866.org:85/tsfile/live/1104_1.m3u8?key=txiptv&playlive=1&authid=0

第一剧场,http://223.100.63.144:880/dx103.m3u8
怀旧剧场,http://223.100.63.144:880/dx95.m3u8
风云剧场,http://223.100.63.144:880/dx94.m3u8
风云足球,http://223.100.63.144:880/dx71.m3u8
风云音乐,http://223.100.63.144:880/dx73.m3u8
央视台球,http://223.100.63.144:880/dx82.m3u8
文化精品,http://223.100.63.144:880/dx104.m3u8
世界地理,http://223.100.63.144:880/dx72.m3u8
兵器科技,http://223.100.63.144:880/dx81.m3u8
女性时尚,http://223.100.63.144:880/dx105.m3u8
​电视指南,http://223.100.63.144:880/dx97.m3u8
高尔夫网球,http://223.100.63.144:880/dx98.m3u8

电视指南,http://111.20.40.162/PLTV/88888893/224/3221226987/index.m3u8
世界地理,http://111.20.40.162/PLTV/88888893/224/3221226947/index.m3u8
风云剧场,http://111.20.40.162/PLTV/88888893/224/3221226950/index.m3u8
第一剧场,http://111.20.40.162/PLTV/88888893/224/3221226959/index.m3u8
怀旧剧场,http://111.20.40.162/PLTV/88888893/224/3221226972/index.m3u8
风云音乐,http://111.20.40.162/PLTV/88888893/224/3221226953/index.m3u8
央视台球,http://111.20.40.162/PLTV/88888893/224/3221226956/index.m3u8
女性时尚,http://111.20.40.162/PLTV/88888893/224/3221226969/index.m3u8
兵器科技,http://111.20.40.162/PLTV/88888893/224/3221226975/index.m3u8
风云足球,http://111.20.40.162/PLTV/88888893/224/3221226984/index.m3u8
高尔夫网球,http://111.20.40.164/PLTV/88888893/224/3221226978/index.m3u8

风云剧场,http://hls.live.cqccn.com/__cl/cg:live/__c/shandongHD/__op/default/__f/index.m3u8
风云剧场,http://hls.live.cqccn.com/__cl/cg:live/__c/fyjcHD/__op/default/__f/index.m3u8
风云音乐,http://hls.live.cqccn.com/__cl/cg:live/__c/fyyyHD/__op/default/__f/index.m3u8
风云足球,http://hls.live.cqccn.com/__cl/cg:live/__c/fyzqHD/__op/default/__f/index.m3u8
央视台球,http://hls.live.cqccn.com/__cl/cg:live/__c/ystqHD/__op/default/__f/index.m3u8
怀旧剧场,http://hls.live.cqccn.com/__cl/cg:live/__c/hjjcHD/__op/default/__f/index.m3u8
第一剧场,http://hls.live.cqccn.com/__cl/cg:live/__c/diyijuchangHD/__op/default/__f/index.m3u8
兵器科技,http://hls.live.cqccn.com/__cl/cg:live/__c/bqkjHD/__op/default/__f/index.m3u8

兵器科技,http://39.136.18.105/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226111/1/index.m3u8?fmt=ts2hls
风云剧场,http://39.136.18.105/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225700/1/index.m3u8?fmt=ts2hls
世界地理,http://39.136.18.105/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226071/1/index.m3u8?fmt=ts2hls
风云足球,http://39.136.18.105/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226153/1/index.m3u8?fmt=ts2hls
风云音乐,http://39.136.18.105/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226083/1/index.m3u8?fmt=ts2hls
怀旧剧场,http://39.136.18.105/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225765/1/index.m3u8?fmt=ts2hls
女性时尚,http://39.136.18.105/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226104/1/index.m3u8?fmt=ts2hls
央视台球,http://39.136.18.105/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226156/1/index.m3u8?fmt=ts2hls
高尔夫网球,http://39.136.18.105/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226114/1/index.m3u8?fmt=ts2hls

兵器科技,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226975/index.m3u8
怀旧剧场,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226972/index.m3u8
世界地理,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226947/index.m3u8
文化精品,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226981/index.m3u8
央视台球,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226956/index.m3u8
高尔夫网球,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226978/index.m3u8
风云剧场,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226950/index.m3u8
风云音乐,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226953/index.m3u8
第一剧场,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226959/index.m3u8
女性时尚,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226969/index.m3u8
风云足球,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226984/index.m3u8
电视指南,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226987/index.m3u8

兵器科技,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226975/1.m3u8
怀旧剧场,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226972/1.m3u8
世界地理,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226947/1.m3u8
文化精品,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226981/1.m3u8
央视台球,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226956/1.m3u8
高尔夫网球,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226978/1.m3u8
风云剧场,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226950/1.m3u8
风云音乐,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226953/1.m3u8
第一剧场,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226959/1.m3u8
女性时尚,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226969/1.m3u8
风云足球,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226984/1.m3u8
电视指南,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226987/1.m3u8

女性时尚,http://39.134.19.252:6610/yinhe/2/ch00000090990000002475/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
怀旧剧场,http://39.134.19.252:6610/yinhe/2/ch00000090990000002495/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
央视台球,http://39.134.19.252:6610/yinhe/2/ch00000090990000002496/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
高尔夫网球,http://39.134.19.252:6610/yinhe/2/ch00000090990000002497/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
第一剧场,http://39.134.19.252:6610/yinhe/2/ch00000090990000002498/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
风云足球,http://39.134.19.252:6610/yinhe/2/ch00000090990000002499/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
风云剧场,http://39.134.19.252:6610/yinhe/2/ch00000090990000002505/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
风云音乐,http://39.134.19.252:6610/yinhe/2/ch00000090990000002525/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
兵器科技,http://39.134.19.252:6610/yinhe/2/ch00000090990000002515/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
文化精品,http://39.134.19.252:6610/yinhe/2/ch00000090990000002535/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
电视指南,http://39.134.19.252:6610/yinhe/2/ch00000090990000002545/index.m3u8?virtualDomain=yinhe.live_hls.zte.com

第一剧场,http://111.20.40.171/PLTV/88888893/224/3221226959/index.m3u8
风云剧场,http://111.20.40.163/PLTV/88888893/224/3221226950/index.m3u8
怀旧剧场,http://111.20.40.171/PLTV/88888893/224/3221226972/index.m3u8
风云音乐,http://111.20.40.163/PLTV/88888893/224/3221226953/index.m3u8
兵器科技,http://111.20.40.171/PLTV/88888893/224/3221226975/index.m3u8
风云足球,http://111.20.40.171/PLTV/88888893/224/3221226984/index.m3u8
央视台球,http://111.20.40.171/PLTV/88888893/224/3221226956/index.m3u8
文化精品,http://111.20.40.165/PLTV/88888893/224/3221226981/index.m3u8
电视指南,http://111.20.40.162/PLTV/88888893/224/3221226987/index.m3u8

央视台球,http://111.20.40.170/PLTV/88888893/224/3221226956/index.m3u8
风云足球,http://111.20.40.170/PLTV/88888893/224/3221226984/index.m3u8
风云音乐,http://111.20.40.170/PLTV/88888893/224/3221226953/index.m3u8
风云剧场,http://111.20.40.170/PLTV/88888893/224/3221226950/index.m3u8
第一剧场,http://111.20.40.170/PLTV/88888893/224/3221226959/index.m3u8
怀旧剧场,http://111.20.40.170/PLTV/88888893/224/3221226972/index.m3u8
高尔夫网球,http://111.20.40.170/PLTV/88888893/224/3221226978/index.m3u8
女性时尚,http://111.20.40.170/PLTV/88888893/224/3221226969/index.m3u8
兵器科技,http://111.20.40.170/PLTV/88888893/224/3221226975/index.m3u8

电视指南,http://111.20.40.160/PLTV/88888893/224/3221226987/index.m3u8
电视指南,http://111.20.40.163/PLTV/88888893/224/3221226987/index.m3u8
电视指南,http://111.20.40.166/PLTV/88888893/224/3221226987/index.m3u8
电视指南,http://111.20.40.167/PLTV/88888893/224/3221226987/index.m3u8
电视指南,http://111.20.40.170/PLTV/88888893/224/3221226987/index.m3u8
电视指南,http://111.20.40.171/PLTV/88888893/224/3221226987/index.m3u8

